114: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
115: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
116: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
117: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
118: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
119: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
120: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
121: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
122: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
123: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
124: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
125: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
126: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
127: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
128: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
129: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
130: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
131: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
132: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
133: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
134: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
135: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
136: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
137: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
138: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
139: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
140: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
141: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
142: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
143: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
144: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
145: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
146: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
147: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
